2026-04-13T00:44:35.318690+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:45:10.279219+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:46:13.739052+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:46:49.256105+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:47:24.917392+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:48:00.638838+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:48:54.457242+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:49:31.249079+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:50:07.021834+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:50:42.213656+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:51:17.243171+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:51:52.663403+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:52:27.922656+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:53:03.137929+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:53:37.847975+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:54:13.039203+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:54:54.301491+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:55:30.485144+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:56:26.766714+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:57:05.565268+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:57:41.414471+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:58:44.405668+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:59:24.754395+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
