2026-04-13T00:39:31.946856+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:40:22.462483+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:41:03.050927+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:41:38.237408+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:42:14.288496+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:42:49.572209+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:43:24.664138+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:43:59.408089+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:44:34.557967+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:45:09.355400+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:46:13.120002+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:46:48.374052+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:47:24.085071+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:47:59.951135+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:48:48.904168+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:49:30.570528+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:50:06.260282+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:50:41.496332+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:51:16.610018+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:51:51.947409+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
2026-04-13T00:52:27.083997+00:00 | Sweet But Psycho | Ava Max | source:amperwave-api
