2026-04-19T00:50:00.353250+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T00:50:55.489315+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T00:51:32.371644+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T00:52:08.824872+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T00:53:03.478817+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T00:53:40.044912+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T00:54:15.847274+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T00:55:09.559647+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T00:55:45.955543+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T00:56:22.673987+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T00:57:14.686911+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T00:57:50.644494+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T00:58:26.721126+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T00:59:02.885945+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T00:59:41.451130+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T01:00:21.708162+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T01:01:00.505227+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T01:01:38.672931+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T01:02:14.348645+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T01:02:51.539676+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T01:03:28.520562+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T01:04:05.438571+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T01:04:42.860996+00:00 | Good As Hell | Lizzo | source:amperwave-api
