2026-04-12T15:42:20.528047+00:00 | Square Hammer | Ghost | source:amperwave-api
2026-04-12T15:42:53.878148+00:00 | Square Hammer | Ghost | source:amperwave-api
2026-04-12T15:43:27.887725+00:00 | Square Hammer | Ghost | source:amperwave-api
2026-04-12T15:44:01.178286+00:00 | Square Hammer | Ghost | source:amperwave-api
2026-04-12T15:44:56.595755+00:00 | No One Like You | Scorpions | source:amperwave-api
2026-04-12T15:45:30.627957+00:00 | No One Like You | Scorpions | source:amperwave-api
2026-04-12T15:46:14.062231+00:00 | No One Like You | Scorpions | source:amperwave-api
2026-04-12T15:46:48.404928+00:00 | No One Like You | Scorpions | source:amperwave-api
2026-04-12T15:47:22.517273+00:00 | No One Like You | Scorpions | source:amperwave-api
2026-04-12T15:47:56.655529+00:00 | No One Like You | Scorpions | source:amperwave-api
2026-04-12T15:48:31.144103+00:00 | Turn The Page | Metallica | source:amperwave-api
2026-04-12T15:49:27.828890+00:00 | Turn The Page | Metallica | source:amperwave-api
2026-04-12T15:50:01.926091+00:00 | Turn The Page | Metallica | source:amperwave-api
2026-04-12T15:50:36.006381+00:00 | Turn The Page | Metallica | source:amperwave-api
2026-04-12T15:51:10.321427+00:00 | Turn The Page | Metallica | source:amperwave-api
2026-04-12T15:51:43.982161+00:00 | Turn The Page | Metallica | source:amperwave-api
2026-04-12T15:52:18.464587+00:00 | Turn The Page | Metallica | source:amperwave-api
2026-04-12T15:52:54.093435+00:00 | Turn The Page | Metallica | source:amperwave-api
