2026-04-12T15:39:29.875232+00:00 | Feel So Close | Calvin Harris | source:amperwave-api
2026-04-12T15:40:03.531741+00:00 | Feel So Close | Calvin Harris | source:amperwave-api
2026-04-12T15:40:37.180996+00:00 | Feel So Close | Calvin Harris | source:amperwave-api
2026-04-12T15:41:11.255436+00:00 | Mirrors | Justin Timberlake | source:amperwave-api
2026-04-12T15:41:46.198210+00:00 | Mirrors | Justin Timberlake | source:amperwave-api
2026-04-12T15:42:20.116893+00:00 | Mirrors | Justin Timberlake | source:amperwave-api
2026-04-12T15:42:53.596722+00:00 | Mirrors | Justin Timberlake | source:amperwave-api
2026-04-12T15:43:27.629900+00:00 | Mirrors | Justin Timberlake | source:amperwave-api
2026-04-12T15:44:00.839186+00:00 | Mirrors | Justin Timberlake | source:amperwave-api
2026-04-12T15:44:56.315905+00:00 | Mirrors | Justin Timberlake | source:amperwave-api
2026-04-12T15:45:30.346576+00:00 | Mirrors | Justin Timberlake | source:amperwave-api
2026-04-12T15:46:13.631840+00:00 | Yeah 3X | Chris Brown | source:amperwave-api
2026-04-12T15:46:48.113261+00:00 | Yeah 3X | Chris Brown | source:amperwave-api
2026-04-12T15:47:22.235860+00:00 | Yeah 3X | Chris Brown | source:amperwave-api
2026-04-12T15:47:56.246172+00:00 | Yeah 3X | Chris Brown | source:amperwave-api
2026-04-12T15:48:30.606363+00:00 | Yeah 3X | Chris Brown | source:amperwave-api
2026-04-12T15:49:27.459830+00:00 | Yeah 3X | Chris Brown | source:amperwave-api
2026-04-12T15:50:01.392559+00:00 | Domino | Jessie J | source:amperwave-api
2026-04-12T15:50:35.747841+00:00 | Domino | Jessie J | source:amperwave-api
2026-04-12T15:51:09.914514+00:00 | Domino | Jessie J | source:amperwave-api
2026-04-12T15:51:43.643828+00:00 | Domino | Jessie J | source:amperwave-api
2026-04-12T15:52:18.130001+00:00 | Domino | Jessie J | source:amperwave-api
2026-04-12T15:52:53.732104+00:00 | Domino | Jessie J | source:amperwave-api
